x(m)	y(m)	Flux(W/m2)
1.18033	2.67391	75199
1.31148	2.67391	75199
1.44262	2.67391	15039.8
1.57377	2.67391	60159.2
1.70492	2.67391	30079.6
1.83607	2.67391	45119.4
1.96721	2.67391	30079.6
2.09836	2.67391	60159.2
2.22951	2.67391	15039.8
2.36066	2.67391	15039.8
2.4918	2.67391	0
2.62295	2.67391	15039.8
2.7541	2.67391	0
2.88525	2.67391	0
3.01639	2.67391	30079.6
3.14754	2.67391	0
3.27869	2.67391	0
3.40984	2.67391	15039.8
3.54098	2.67391	0
3.67213	2.67391	15039.8
3.80328	2.67391	0
3.93443	2.67391	30079.6
-3.93443	2.80435	0
-3.80328	2.80435	0
-3.67213	2.80435	15039.8
-3.54098	2.80435	0
-3.40984	2.80435	15039.8
-3.27869	2.80435	0
-3.14754	2.80435	15039.8
-3.01639	2.80435	0
-2.88525	2.80435	0
-2.7541	2.80435	0
-2.62295	2.80435	15039.8
-2.4918	2.80435	0
-2.36066	2.80435	0
-2.22951	2.80435	15039.8
-2.09836	2.80435	45119.4
-1.96721	2.80435	15039.8
-1.83607	2.80435	15039.8
-1.70492	2.80435	0
-1.57377	2.80435	60159.2
-1.44262	2.80435	45119.4
-1.31148	2.80435	30079.6
-1.18033	2.80435	30079.6
-1.04918	2.80435	75199
-0.918033	2.80435	75199
-0.786885	2.80435	105279
-0.655738	2.80435	120318
-0.52459	2.80435	75199
-0.393443	2.80435	75199
-0.262295	2.80435	90238.7
-0.131148	2.80435	135358
4.44089e-16	2.80435	60159.2
0.131148	2.80435	90238.7
0.262295	2.80435	150398
0.393443	2.80435	150398
0.52459	2.80435	120318
0.655738	2.80435	60159.2
0.786885	2.80435	105279
0.918033	2.80435	30079.6
1.04918	2.80435	45119.4
1.18033	2.80435	30079.6
1.31148	2.80435	30079.6
1.44262	2.80435	15039.8
1.57377	2.80435	45119.4
1.70492	2.80435	30079.6
1.83607	2.80435	15039.8
1.96721	2.80435	15039.8
2.09836	2.80435	30079.6
2.22951	2.80435	60159.2
2.36066	2.80435	0
2.4918	2.80435	30079.6
2.62295	2.80435	0
2.7541	2.80435	15039.8
2.88525	2.80435	0
3.01639	2.80435	60159.2
3.14754	2.80435	0
3.27869	2.80435	0
3.40984	2.80435	0
3.54098	2.80435	15039.8
3.67213	2.80435	15039.8
3.80328	2.80435	15039.8
3.93443	2.80435	0
-3.93443	2.93478	0
-3.80328	2.93478	0
-3.67213	2.93478	15039.8
-3.54098	2.93478	15039.8
-3.40984	2.93478	15039.8
-3.27869	2.93478	0
-3.14754	2.93478	15039.8
-3.01639	2.93478	15039.8
-2.88525	2.93478	30079.6
-2.7541	2.93478	15039.8
-2.62295	2.93478	15039.8
-2.4918	2.93478	0
-2.36066	2.93478	0
-2.22951	2.93478	15039.8
-2.09836	2.93478	0
-1.96721	2.93478	0
-1.83607	2.93478	0
-1.70492	2.93478	15039.8
-1.57377	2.93478	0
-1.44262	2.93478	0
-1.31148	2.93478	0
-1.18033	2.93478	15039.8
-1.04918	2.93478	30079.6
-0.918033	2.93478	45119.4
-0.786885	2.93478	45119.4
-0.655738	2.93478	75199
-0.52459	2.93478	90238.7
-0.393443	2.93478	30079.6
-0.262295	2.93478	75199
-0.131148	2.93478	30079.6
4.44089e-16	2.93478	30079.6
0.131148	2.93478	15039.8
0.262295	2.93478	15039.8
0.393443	2.93478	45119.4
0.52459	2.93478	135358
0.655738	2.93478	45119.4
0.786885	2.93478	75199
0.918033	2.93478	45119.4
1.04918	2.93478	60159.2
1.18033	2.93478	15039.8
1.31148	2.93478	45119.4
1.44262	2.93478	30079.6
1.57377	2.93478	60159.2
1.70492	2.93478	0
1.83607	2.93478	15039.8
1.96721	2.93478	0
2.09836	2.93478	45119.4
2.22951	2.93478	15039.8
2.36066	2.93478	0
2.4918	2.93478	15039.8
2.62295	2.93478	0
2.7541	2.93478	0
2.88525	2.93478	0
3.01639	2.93478	0
3.14754	2.93478	15039.8
3.27869	2.93478	15039.8
3.40984	2.93478	15039.8
3.54098	2.93478	15039.8
3.67213	2.93478	15039.8
3.80328	2.93478	0
3.93443	2.93478	0
